"Year","Week","Offense","n"
2006,34,"Burglary",488
2006,34,"Fel. Assault",393
2006,34,"G.L.A.",356
2006,34,"Gr. Larceny",916
2006,34,"Misd. Assault",986
2006,34,"Murder",10
2006,34,"Petit Larceny",1706
2006,34,"Rape",34
2006,34,"Robbery",469
2006,35,"Burglary",458
2006,35,"Fel. Assault",326
2006,35,"G.L.A.",363
2006,35,"Gr. Larceny",997
2006,35,"Misd. Assault",798
2006,35,"Murder",13
2006,35,"Petit Larceny",1559
2006,35,"Rape",50
2006,35,"Robbery",450
2006,36,"Burglary",452
2006,36,"Fel. Assault",345
2006,36,"G.L.A.",337
2006,36,"Gr. Larceny",914
2006,36,"Misd. Assault",979
2006,36,"Murder",10
2006,36,"Petit Larceny",1526
2006,36,"Rape",22
2006,36,"Robbery",407
2006,37,"Burglary",441
2006,37,"Fel. Assault",349
2006,37,"G.L.A.",344
2006,37,"Gr. Larceny",990
2006,37,"Misd. Assault",943
2006,37,"Murder",13
2006,37,"Petit Larceny",1587
2006,37,"Rape",22
2006,37,"Robbery",473
2006,38,"Burglary",463
2006,38,"Fel. Assault",358
2006,38,"G.L.A.",332
2006,38,"Gr. Larceny",911
2006,38,"Misd. Assault",1039
2006,38,"Murder",15
2006,38,"Petit Larceny",1580
2006,38,"Rape",16
2006,38,"Robbery",507
2006,39,"Burglary",466
2006,39,"Fel. Assault",358
2006,39,"G.L.A.",331
2006,39,"Gr. Larceny",958
2006,39,"Misd. Assault",1140
2006,39,"Murder",11
2006,39,"Petit Larceny",1620
2006,39,"Rape",27
2006,39,"Robbery",547
2006,40,"Burglary",474
2006,40,"Fel. Assault",366
2006,40,"G.L.A.",318
2006,40,"Gr. Larceny",1014
2006,40,"Misd. Assault",980
2006,40,"Murder",12
2006,40,"Petit Larceny",1610
2006,40,"Rape",34
2006,40,"Robbery",478
2006,41,"Burglary",442
2006,41,"Fel. Assault",332
2006,41,"G.L.A.",320
2006,41,"Gr. Larceny",930
2006,41,"Misd. Assault",931
2006,41,"Murder",8
2006,41,"Petit Larceny",1553
2006,41,"Rape",30
2006,41,"Robbery",479
2006,42,"Burglary",463
2006,42,"Fel. Assault",320
2006,42,"G.L.A.",284
2006,42,"Gr. Larceny",943
2006,42,"Misd. Assault",988
2006,42,"Murder",13
2006,42,"Petit Larceny",1574
2006,42,"Rape",25
2006,42,"Robbery",502
2006,43,"Burglary",462
2006,43,"Fel. Assault",303
2006,43,"G.L.A.",300
2006,43,"Gr. Larceny",913
2006,43,"Misd. Assault",910
2006,43,"Murder",9
2006,43,"Petit Larceny",1603
2006,43,"Rape",21
2006,43,"Robbery",535
2006,44,"Burglary",425
2006,44,"Fel. Assault",325
2006,44,"G.L.A.",283
2006,44,"Gr. Larceny",1008
2006,44,"Misd. Assault",1014
2006,44,"Murder",11
2006,44,"Petit Larceny",1589
2006,44,"Rape",37
2006,44,"Robbery",506
2006,45,"Burglary",444
2006,45,"Fel. Assault",289
2006,45,"G.L.A.",320
2006,45,"Gr. Larceny",912
2006,45,"Misd. Assault",838
2006,45,"Murder",12
2006,45,"Petit Larceny",1545
2006,45,"Rape",25
2006,45,"Robbery",430
2006,46,"Burglary",470
2006,46,"Fel. Assault",314
2006,46,"G.L.A.",278
2006,46,"Gr. Larceny",986
2006,46,"Misd. Assault",940
2006,46,"Murder",14
2006,46,"Petit Larceny",1531
2006,46,"Rape",20
2006,46,"Robbery",480
2006,47,"Burglary",437
2006,47,"Fel. Assault",300
2006,47,"G.L.A.",293
2006,47,"Gr. Larceny",838
2006,47,"Misd. Assault",891
2006,47,"Murder",12
2006,47,"Petit Larceny",1450
2006,47,"Rape",25
2006,47,"Robbery",434
2006,48,"Burglary",489
