"Year","Week","Offense","n","Date","Month","rollingavg","ytd","monthly_n"
2007,2,"Petit Larceny",1540,2007-01-08,1,80080,3116,7342
2007,2,"Rape",13,2007-01-08,1,1501,86,149
2007,2,"Robbery",453,2007-01-08,1,22774,883,1972
2008,2,"Burglary",411,2008-01-14,1,21537,807,1596
2008,2,"Fel. Assault",306,2008-01-14,1,17347,673,1162
2008,2,"G.L.A.",235,2008-01-14,1,13031,469,937
2008,2,"Gr. Larceny",846,2008-01-14,1,44382,1750,3290
2008,2,"Misd. Assault",948,2008-01-14,1,50931,1927,3712
2008,2,"Murder",8,2008-01-14,1,495,21,38
2008,2,"Petit Larceny",1617,2008-01-14,1,79526,3095,6293
2008,2,"Rape",23,2008-01-14,1,1317,104,143
2008,2,"Robbery",457,2008-01-14,1,21347,895,1746
2009,2,"Burglary",375,2009-01-12,1,20472,692,1330
2009,2,"Fel. Assault",262,2009-01-12,1,16092,557,1079
2009,2,"G.L.A.",203,2009-01-12,1,12349,411,861
2009,2,"Gr. Larceny",734,2009-01-12,1,43269,1467,2738
2009,2,"Misd. Assault",836,2009-01-12,1,49832,1713,3430
2009,2,"Murder",8,2009-01-12,1,501,13,26
2009,2,"Petit Larceny",1433,2009-01-12,1,82403,2882,5618
2009,2,"Rape",15,2009-01-12,1,1273,81,118
2009,2,"Robbery",373,2009-01-12,1,22115,749,1494
2010,2,"Burglary",383,2010-01-11,1,19422,750,1535
2010,2,"Fel. Assault",261,2010-01-11,1,16716,550,1143
2010,2,"G.L.A.",181,2010-01-11,1,10541,365,757
2010,2,"Gr. Larceny",635,2010-01-11,1,38752,1348,2697
2010,2,"Misd. Assault",883,2010-01-11,1,50205,1862,3717
2010,2,"Murder",7,2010-01-11,1,453,13,29
2010,2,"Petit Larceny",1495,2010-01-11,1,80497,2906,6059
2010,2,"Rape",18,2010-01-11,1,1259,108,151
2010,2,"Robbery",386,2010-01-11,1,18557,775,1590
2011,2,"Burglary",339,2011-01-10,1,18551,662,1562
2011,2,"Fel. Assault",295,2011-01-10,1,17217,675,1588
2011,2,"G.L.A.",173,2011-01-10,1,10255,353,822
2011,2,"Gr. Larceny",604,2011-01-10,1,37916,1306,3188
2011,2,"Misd. Assault",816,2011-01-10,1,52499,1811,4414
2011,2,"Murder",10,2011-01-10,1,530,14,27
2011,2,"Petit Larceny",1233,2011-01-10,1,80926,2572,6353
2011,2,"Rape",21,2011-01-10,1,1426,100,189
2011,2,"Robbery",330,2011-01-10,1,19501,730,1734
2012,2,"Burglary",356,2012-01-09,1,18841,702,1806
2012,2,"Fel. Assault",303,2012-01-09,1,18467,661,1579
2012,2,"G.L.A.",132,2012-01-09,1,9194,277,689
2012,2,"Gr. Larceny",697,2012-01-09,1,38929,1436,3626
2012,2,"Misd. Assault",880,2012-01-09,1,50790,1870,4660
2012,2,"Murder",10,2012-01-09,1,498,18,39
2012,2,"Petit Larceny",1473,2012-01-09,1,81311,2898,7432
2012,2,"Rape",21,2012-01-09,1,1443,86,165
2012,2,"Robbery",409,2012-01-09,1,19760,770,1963
2013,2,"Burglary",341,2013-01-14,1,19178,658,1311
2013,2,"Fel. Assault",376,2013-01-14,1,19565,758,1382
2013,2,"G.L.A.",125,2013-01-14,1,7993,242,492
2013,2,"Gr. Larceny",785,2013-01-14,1,43008,1668,3120
2013,2,"Misd. Assault",919,2013-01-14,1,54322,1932,3662
2013,2,"Murder",8,2013-01-14,1,414,18,26
2013,2,"Petit Larceny",1536,2013-01-14,1,82884,2978,5765
2013,2,"Rape",20,2013-01-14,1,1477,95,131
2013,2,"Robbery",420,2013-01-14,1,20089,820,1543
2014,2,"Burglary",345,2014-01-13,1,17372,652,1317
2014,2,"Fel. Assault",383,2014-01-13,1,20362,755,1407
2014,2,"G.L.A.",161,2014-01-13,1,7361,263,553
2014,2,"Gr. Larceny",886,2014-01-13,1,45407,1631,3104
2014,2,"Misd. Assault",932,2014-01-13,1,53437,1936,3704
2014,2,"Murder",7,2014-01-13,1,320,16,28
2014,2,"Petit Larceny",1556,2014-01-13,1,84883,2859,5833
2014,2,"Rape",20,2014-01-13,1,1417,80,120
2014,2,"Robbery",383,2014-01-13,1,18937,681,1348
2015,2,"Burglary",310,2015-01-12,1,16673,538,1095
